Month,AverageSales,AverageCustomers,MonthName
1,6563.6904439271275,722.5147493137835,Jan
2,6589.1655346883845,731.5047916952258,Feb
3,6976.412026052571,759.0816003721795,Mar
4,7046.228420060932,774.2718062913705,Apr
5,7106.453154064143,779.2902138496686,May
6,7000.978189788801,759.2773566169348,Jun
7,6952.68212462173,752.745522100319,Jul
8,6648.98465440244,750.3847058607319,Aug
9,6546.343034588191,745.6139881521116,Sep
10,6602.843353599039,752.5735570066802,Oct
11,7188.554249917317,782.6715433551876,Nov
12,8608.956660647313,886.6303851725438,Dec
