YearMonth,Sales
2013-01,180132207
2013-02,171534275
2013-03,201180369
2013-04,183431432
2013-05,185411063
2013-06,180702351
2013-07,208843882
2013-08,198042727
2013-09,178053963
2013-10,187662330
2013-11,196170924
2013-12,231710561
2014-01,187752787
2014-02,178924677
2014-03,193019854
2014-04,194544977
2014-05,194693257
2014-06,190047051
2014-07,173892707
2014-08,163748475
2014-09,164516168
2014-10,164216398
2014-11,173327953
2014-12,202120592
2015-01,198843730
2015-02,178275458
2015-03,205631683
2015-04,197918886
2015-05,189143897
2015-06,207363373
2015-07,212322616
